Stationsnummer: 2099
Stationsname: Zürich, Unterhard
DBLH-Nr: 00343
Gewässer: Limmat
Exportperiode: 2000-01-01 - 2024-12-31
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: Tagesmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-16 00:00:00;;400.895;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-17 00:00:00;;400.958;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-18 00:00:00;;401.001;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-19 00:00:00;;401.012;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-20 00:00:00;;400.948;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-21 00:00:00;;400.887;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-22 00:00:00;;400.887;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-23 00:00:00;;400.777;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-24 00:00:00;;400.761;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-25 00:00:00;;400.629;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-26 00:00:00;;400.603;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-27 00:00:00;;400.565;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-28 00:00:00;;400.564;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-29 00:00:00;;400.583;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-30 00:00:00;;400.604;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-05-31 00:00:00;;400.956;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-06-01 00:00:00;;401.166;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-06-02 00:00:00;;400.985;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-06-03 00:00:00;;400.698;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-06-04 00:00:00;;400.649;Freigegeben, validierte Daten
Zürich, Unterhard;2099;Pegel;Tagesmittel;m ü.M.;Limmat;2000-06-05 00:00:00;;400.647;Freigegeben, validierte Daten
